bfs_number,bfs_name,pop,pop_dens,frg_pct,emp,tax_income,lat,lon,zurich_city
2,Affoltern am Albis,12303,1161.7563739377,28.7003169959,6920.0,72583,47.27696638840895,8.452764437748836,0
3,Bonstetten,5572,749.932705249,16.5649676956,1014.0,91002,47.30156707763672,8.539776802062988,0
4,Hausen am Albis,3751,275.8088235294,16.0223940283,1021.0,91766,47.24638366699219,8.534688313802084,0
5,Hedingen,3778,578.5604900459,16.4107993647,1478.0,94456,47.29469108581543,8.44947338104248,0
6,Kappel am Albis,1221,154.1666666667,17.5266175266,319.0,102670,47.22249984741211,8.497673034667969,0
7,Knonau,2378,367.542503864,18.2926829268,566.0,84568,47.27446683247884,8.481094360351562,0
8,Maschwanden,645,137.526652452,12.8682170543,175.0,72226,47.62873077392578,8.726374626159668,0
9,Mettmenstetten,5200,399.07904835,14.7692307692,1680.0,93140,47.245086034139,8.468245029449463,0
10,Obfelden,5721,758.7533156499,21.4647788848,1252.0,78384,47.27916412353515,8.540326881408692,0
23,Berg am Irchel,577,82.3109843081,8.8388214905,137.0,110218,47.2447509765625,8.176618576049805,0
25,Dachsen,1916,709.6296296296,13.3089770355,455.0,81505,47.675880432128906,8.615435123443604,0
27,Feuerthalen,3614,1457.2580645161,22.4958494743,1165.0,76356,47.68718338012695,8.65138304233551,0
30,Andelfingen,2247,333.3827893175,13.3511348465,1551.0,88960,47.59470462799072,8.678703784942627,0
34,Laufen-Uhwiesen,1761,280.4140127389,13.7989778535,472.0,97686,47.6737922668457,8.627214813232422,0
38,Rheinau,1316,147.3684210526,19.6808510638,694.0,72743,47.558319091796875,8.583187484741211,0
51,Bachenbülach,4180,969.837587007,24.7846889952,1848.0,80529,47.55934143066406,8.577284495035807,0
52,Bassersdorf,11824,1309.4130675526,24.949255751,4597.0,79477,47.44149398803711,8.62541093826294,0
53,Bülach,21372,1328.2784338098,28.0320044919,10973.0,78194,47.48854764302572,8.54453671420062,0
54,Dietlikon,7847,1846.3529411765,25.7678093539,5808.0,82156,47.423777146772906,8.618987603621049,0
55,Eglisau,5339,589.293598234,24.1430979584,1536.0,87906,47.481212298075356,8.496437390645346,0
56,Embrach,9421,741.811023622,28.0437320879,3591.0,73330,47.47262732187907,8.594314018885294,0
58,Glattfelden,5217,424.1463414634,24.5351734713,1104.0,74507,47.564674377441406,8.481360721588135,0
59,Hochfelden,1982,321.2317666126,13.7739656912,391.0,83569,47.52145957946777,8.515561580657959,0
62,Kloten,20130,1044.6289569279,33.4376552409,37403.0,70228,47.44641051421294,8.619850803065944,0
63,Lufingen,2417,466.6023166023,19.1146048821,407.0,94684,47.48718770345052,8.592441082000732,0
64,Nürensdorf,5602,557.96812749,16.8154230632,1031.0,99047,47.46161651611328,8.639001846313477,0
66,Opfikon,21014,3759.2128801431,44.9129151994,19226.0,71979,47.44923693793161,8.57821958405631,0
67,Rafz,4661,436.4232209738,22.2484445398,1363.0,77517,47.611018371582034,8.54186553955078,0
68,Rorbas,2885,649.7747747748,28.0762564991,462.0,69847,47.53376293182373,8.580785512924194,0
69,Wallisellen,16841,2623.2087227414,31.0135977674,20325.0,86973,47.41997477213542,8.632154051462809,0
71,Wil (ZH),1474,164.6927374302,12.4151967436,543.0,92974,47.68424606323242,8.628341674804688,0
72,Winkel,4535,559.186189889,14.9503858875,981.0,113301,47.48994827270508,8.552759051322937,0
82,Boppelsen,1432,361.6161616162,11.5921787709,318.0,120940,47.47076797485352,8.401324272155762,0
83,Buchs (ZH),6565,1124.1438356164,26.0472201066,2327.0,77391,47.44817352294922,8.431015173594156,0
84,Dällikon,4177,926.1640798226,29.3512090017,2752.0,75542,47.65618896484375,9.12721061706543,0
85,Dänikon,1861,648.4320557491,26.7598065556,434.0,88072,47.44687080383301,8.408493041992188,0
86,Dielsdorf,5966,1016.3543441227,31.847133758,4370.0,75326,47.47836183246813,8.474833388077585,0
87,Hüttikon,952,598.7421383648,15.8613445378,129.0,96419,47.40489196777344,8.412704785664877,0
88,Neerach,3175,525.6622516556,13.3228346457,641.0,110502,47.51127099990845,8.47316312789917,0
89,Niederglatt,4993,1386.9444444444,26.0564790707,1398.0,74085,47.520402090890066,8.524338722229004,0
90,Niederhasli,9345,826.9911504425,25.7998929909,2505.0,72919,47.426422986117274,8.434585007754238,0
91,Niederweningen,3073,448.6131386861,17.0517409697,843.0,86604,47.50895118713379,8.373068451881409,0
92,Oberglatt,7228,876.1212121212,37.1748754842,1748.0,65147,47.500304794311525,8.529055786132812,0
93,Oberweningen,1790,362.3481781377,20.3351955307,235.0,86081,47.43509419759115,8.526485443115234,0
94,Otelfingen,2982,417.0629370629,23.138832998,2385.0,83866,47.44250297546387,8.486518383026123,0
96,Regensdorf,18540,1268.1258549932,35.5717367853,11126.0,73522,47.44161124456497,8.466057141621908,0
97,Rümlang,8233,663.4165995165,29.819021013,6277.0,71944,47.46234294346401,8.53037657056536,0
100,Stadel,2293,177.889837083,14.0863497601,497.0,75566,47.509708404541016,8.893177604675293,0
101,Steinmaur,3609,384.3450479233,27.1266278748,824.0,78042,47.44539546966553,8.530306577682495,0
102,Weiach,1903,198.643006263,26.1166579086,290.0,68959,47.52597173055013,8.4621262550354,0
111,Bäretswil,5053,227.7151870212,10.1523847219,1647.0,77877,47.33660125732422,8.851673126220703,0
112,Bubikon,7344,632.5581395349,11.4106753813,3617.0,82162,47.45849800109863,8.709606647491455,0
113,Dürnten,7606,744.2270058708,18.3933736524,1836.0,74686,47.29157733917236,8.827369928359985,0
115,Gossau (ZH),10280,562.9791894852,14.5719844358,2675.0,80977,47.306970825195314,8.737091369628907,0
117,Hinwil,11277,506.1490125673,17.105613195,6999.0,72124,47.29987423236553,8.839534392723671,0
118,Rüti (ZH),12286,1221.2723658052,24.8412827609,5053.0,66676,47.23798688252767,8.68412478764852,0
119,Seegräben,1430,379.3103448276,14.6153846154,579.0,84033,47.32003911336263,8.664352099100748,0
120,Wald (ZH),10096,399.525128611,26.5649762282,3460.0,66453,47.28981711647727,8.887931130149148,0
121,Wetzikon (ZH),24990,1486.6151100535,25.9943977591,14163.0,68951,47.33624683726918,8.774687767028809,0
131,Adliswil,18944,2438.0952380952,37.7850506757,7507.0,89522,47.313598286021836,8.477413524280895,0
135,Kilchberg (ZH),8923,3458.527131783,32.8589039561,4127.0,185213,47.324166434151785,8.542911665780204,0
136,Langnau am Albis,7727,891.2341407151,27.7856865536,1533.0,96048,47.304070790608726,8.524892727533976,0
138,Richterswil,13632,1810.3585657371,19.4762323944,4293.0,90081,47.2076849256243,8.67750106539045,0
141,Thalwil,18139,3298.0,29.0313688737,6582.0,113194,47.28643459743924,8.570697996351454,0
152,Herrliberg,6460,718.5761957731,22.4458204334,1413.0,193412,47.292293548583984,8.626224835713705,0
153,Hombrechtikon,8775,720.4433497537,20.6723646724,2910.0,79414,47.27866236368815,8.750385178460014,0
154,Küsnacht (ZH),14564,1178.3171521036,26.5037077726,6401.0,188407,47.34914814342152,8.516399643637918,0
155,Männedorf,11359,2381.3417190776,20.3803151686,4984.0,103577,47.27105026245117,8.685469722747802,0
156,Meilen,14335,1200.5862646566,23.1880013952,5910.0,139797,47.27225582416241,8.646468749413124,0
157,Oetwil am See,4840,792.1440261866,29.2561983471,2303.0,70794,47.27373168047737,8.713809125563678,0
158,Stäfa,14718,1713.3876600699,19.3232776192,6193.0,103206,47.25031607491629,8.75077706291562,0
159,Uetikon am See,6201,1792.1965317919,21.2707627802,1480.0,122852,47.293134689331055,8.717387437820435,0
161,Zollikon,13067,1664.5859872612,26.0580087243,5764.0,171602,47.34467887878418,8.588030052185058,0
172,Fehraltorf,6485,684.7940865892,18.2266769468,4271.0,80449,47.40334498087565,8.710498046875,0
173,Hittnau,3664,282.9343629344,7.6692139738,783.0,79838,47.370323181152344,8.822081565856934,0
176,Lindau,5605,467.4728940784,20.8206958073,2802.0,88191,47.54509353637695,8.77522341410319,0
177,Pfäffikon,12164,623.4751409534,19.0891154226,5895.0,80310,47.32060345736417,8.561420093883168,0
178,Russikon,4393,308.7139845397,13.3166401093,1207.0,91275,47.41846923828125,8.801981163024902,0
180,Weisslingen,3364,262.6073380172,10.4340071344,886.0,85673,47.4775333404541,8.707092523574829,0
191,Dübendorf,29303,2151.4684287812,35.9451250725,20104.0,79563,47.40033130256497,8.61494474994893,0
192,Egg,8796,605.3682037164,19.9181446112,2469.0,94471,47.30889129638672,8.660722374916077,0
193,Fällanden,8689,1361.9122257053,24.2145241109,2946.0,90510,47.35874843597412,8.628773927688599,0
194,Greifensee,5385,2372.2466960352,20.1671309192,1663.0,89901,47.369665033677045,8.682991476619945,0
195,Maur,10468,708.7339201083,21.5036301108,2212.0,116390,47.3626049041748,8.5944429397583,0
196,Mönchaltorf,3898,513.5704874835,17.1626475115,1360.0,78986,47.40165583292643,8.794329325358072,0
197,Schwerzenbach,5170,1973.2824427481,27.1373307544,2646.0,79405,47.38995361328125,8.656920075416565,0
198,Uster,35007,1228.7469287469,23.0096837775,17237.0,79839,47.349696689181854,8.656581852171156,0
199,Volketswil,18640,1327.6353276353,24.597639485,11193.0,82135,47.36839082505968,8.690105968051487,0
200,Wangen-Brüttisellen,7967,1005.9343434343,27.3252165181,5859.0,84772,47.426015853881836,8.632022142410278,0
213,Brütten,2067,313.1818181818,7.5471698113,388.0,102330,47.48731395176479,8.537068707602364,0
214,Dägerlen,1037,130.4402515723,7.8109932498,264.0,82639,47.28656196594238,8.680179595947266,0
219,Elsau,3647,451.9206939281,17.3293117631,1052.0,79356,47.50262887137277,8.800956044878278,0
224,Pfungen,3900,781.5631262525,24.8461538462,1400.0,71575,47.52354736328125,8.631893984476726,0
225,Rickenbach (ZH),2749,456.6445182724,11.8224809021,552.0,76514,47.547186851501465,8.792053937911987,0
226,Schlatt (ZH),789,87.9598662207,7.9847908745,153.0,71604,47.47261428833008,8.81645941734314,0
227,Seuzach,7440,984.126984127,13.3198924731,2641.0,89559,47.50960477193197,8.682248910268148,0
228,Turbenthal,4883,193.6161776368,20.540651239,1631.0,65880,47.43817901611328,8.855617841084799,0
230,Winterthur,113173,1662.5973262818,24.535003932,73339.0,70966,47.48860574147058,8.696827141065446,0
231,Zell (ZH),6299,485.6592135698,22.3845054771,1476.0,69563,47.444662729899086,8.820176442464193,0
242,Birmensdorf (ZH),6724,588.7915936953,24.9256395003,2598.0,89088,47.368473052978516,8.49913673400879,0
243,Dietikon,27746,2970.6638115632,46.2264830967,18911.0,65532,47.39239167193977,8.415648003013766,0
245,Oberengstringen,6738,3133.9534883721,34.0457108934,1170.0,78450,47.40796518325806,8.463138937950134,0
247,Schlieren,18791,2851.4415781487,46.1178223618,18945.0,65678,47.399019094613884,8.448143274356157,0
248,Uitikon,4668,1065.7534246575,18.9374464439,1074.0,161425,47.367300033569336,8.45750093460083,0
249,Unterengstringen,3934,1177.8443113773,25.8261311642,1000.0,96737,47.445102310180665,8.518067455291748,0
250,Urdorf,9981,1316.7546174143,24.9273619878,6398.0,77164,47.398632161757526,8.41416451510261,0
251,Weiningen (ZH),4813,894.6096654275,29.0878869728,2177.0,83683,47.38643932342529,8.43576979637146,0
261,Zürich,78801,5736.0,32.4584678868,491193.0,85446,47.382359721673225,8.522662644663816,1
296,Illnau-Effretikon,17333,526.678821027,27.4159118445,6954.0,73095,47.40927846808182,8.694088182951274,0
297,Bauma,4873,165.018625127,15.5345782885,1937.0,67710,47.36679140726725,8.762730121612549,0
298,Wiesendangen,6594,343.9749608764,8.932362754,1573.0,85661,47.516761086203836,8.602026375857266,0
